state,Cohen Distance,t_statistic,p_value,num_samples,human_mean,human_std,optimal_mean,optimal_std
0g1y4b,-0.2621199381403964,-25.5974822069095,6.662558519372707e-142,17465,0.9603795890665435,0.11022286473916125,0.9886867144064813,0.10570984800393936
0g2y3b,-0.21034706009486254,-19.218542157734017,2.355858363831186e-81,15285,0.9632035088362523,0.10844727078478957,0.9858832634848899,0.10718325035550885
0g3y2b,-0.17774154602196496,-12.715732599973272,1.0944330780132673e-36,7994,0.9620482729445398,0.10933198786019632,0.9809400649544112,0.1031405084583023
3g0y2b,-0.08806354947069649,-12.45506419336051,1.8439067719832722e-35,17821,0.9532798970097585,0.1092845968638385,0.9628962856060876,0.10910577285616642
0g0y5b,-0.43696131413181155,-30.09106775673912,1.074849792244316e-189,9069,0.9530285567019606,0.11242954711324543,0.998403200500506,0.09446302114530393
1g0y4b,-0.2194513708213699,-16.397196781633163,1.1791444484642892e-59,10092,0.9577125174498501,0.10991428500246063,0.9814185446204051,0.10608925835061332
2g0y3b,-0.16528640108899062,-15.115656814954441,3.847945400858366e-51,11784,0.9565580498520122,0.10791279515725896,0.9741287682144091,0.1046627041684048
1g1y3b,-0.17074604755383346,-17.144260461225215,2.6691773440249313e-65,15944,0.9638392341205899,0.10547972056443997,0.981995924857639,0.1071815999008002
4g0y1b,-0.09212888840511069,-17.887922342116312,5.966223238538158e-71,18127,0.9339041050610152,0.1243235491192907,0.9453521151275869,0.12419117550315843
3g1y1b,-0.018718321977144143,-2.8666955976330546,0.004167684140863203,4364,0.9663250100312917,0.1153648455629376,0.9684916571341516,0.11610757998736676
2g1y2b,-0.04699040027477806,-5.666391712409486,1.4919273965426303e-08,12002,0.9663004205231696,0.1089345029575337,0.9714036887399441,0.10826011478051785
1g2y2b,-0.07757617090650865,-7.656515206282296,2.065809657795895e-14,11324,0.9684043008904163,0.10455651395758025,0.9765203523294195,0.10467504974708196
0g4y1b,-0.0028936465825986062,-0.1429379684702042,0.8863513073311441,2374,0.9645012588348608,0.112254871132153,0.9648226609687657,0.10982840504806053
2g2y1b,-0.005009083628028917,-0.6073727961867896,0.543637504781054,4061,0.9630470989212017,0.10137621802970988,0.9635556643215286,0.10165584778009572
1g3y1b,0.00899663509195199,0.6906120142074806,0.48985923440243484,3217,0.967302461713956,0.1094629951996713,0.9663180270757423,0.10934803255395364
3g2y0b,0.004512685765218439,1.0000000000000002,0.31783397050526974,463,0.9479458431067593,0.1383917375023819,0.9473193750533699,0.13895523379748673
1g4y0b,-0.02450557048151283,-0.5719172326321452,0.5678538830119362,271,0.9910640338606741,0.07151714110171152,0.9927283646036249,0.063847776036507
2g3y0b,0.018594938004104687,2.196528492205568,0.028917170318189297,267,0.9100378847328688,0.11745359632059474,0.9078379664779379,0.1187142692756577
0g5y0b,-0.014542030242974183,-0.6777213006376055,0.49864164512657105,227,0.9448680114103605,0.11589749681365963,0.9465538815078264,0.11545252640077965
