,"(-1.1920928955078125e-07, 0.14020758271217346]","(0.14020758271217346, 0.28041528463363646]","(0.28041528463363646, 0.42062298655509944]","(0.42062298655509944, 0.5608306884765625]","(0.5608306884765625, 0.7010383903980255]","(0.7010383903980255, 0.8412460923194884]","(0.8412460923194884, 0.9814537942409515]","(0.9814537942409515, 1.1216614961624145]","(1.1216614961624145, 1.2618691980838774]","(1.2618691980838774, 1.4020769000053406]",Row Total
"(-1.1920928955078125e-07, 0.14020758271217346]",33.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,35.0
"(0.14020758271217346, 0.28041528463363646]",0.0,12.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,16.0
"(0.28041528463363646, 0.42062298655509944]",0.0,0.0,42.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,50.0
"(0.42062298655509944, 0.5608306884765625]",0.0,0.0,0.0,203.0,1.0,20.0,54.0,51.0,12.0,0.0,341.0
"(0.5608306884765625, 0.7010383903980255]",0.0,0.0,1.0,4.0,1230.0,158.0,303.0,271.0,58.0,2.0,2027.0
"(0.7010383903980255, 0.8412460923194884]",1.0,0.0,10.0,21.0,180.0,7453.0,3421.0,3276.0,481.0,19.0,14862.0
"(0.8412460923194884, 0.9814537942409515]",1.0,4.0,6.0,53.0,566.0,4022.0,42392.0,16591.0,1655.0,38.0,65328.0
"(0.9814537942409515, 1.1216614961624145]",2.0,5.0,53.0,194.0,1273.0,9076.0,35924.0,67669.0,3818.0,86.0,118100.0
"(1.1216614961624145, 1.2618691980838774]",1.0,1.0,27.0,35.0,239.0,1202.0,3041.0,3226.0,3349.0,19.0,11140.0
"(1.2618691980838774, 1.4020769000053406]",0.0,0.0,0.0,3.0,13.0,43.0,100.0,101.0,35.0,44.0,339.0
Column Total,38.0,22.0,139.0,513.0,3502.0,21974.0,85242.0,91192.0,9408.0,208.0,212238.0
