,"(0.0, 0.13999999999999999]","(0.13999999999999999, 0.27999999999999997]","(0.27999999999999997, 0.41999999999999993]","(0.41999999999999993, 0.5599999999999999]","(0.5599999999999999, 0.7]","(0.7, 0.8399999999999999]","(0.8399999999999999, 0.9799999999999999]","(0.9799999999999999, 1.1199999999999999]","(1.1199999999999999, 1.2599999999999998]","(1.2599999999999998, 1.4]",Row Total
"(0.0, 0.13999999999999999]",33.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,35.0
"(0.13999999999999999, 0.27999999999999997]",0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
"(0.27999999999999997, 0.41999999999999993]",0.0,0.0,63.0,0.0,1.0,2.0,8.0,8.0,0.0,0.0,82.0
"(0.41999999999999993, 0.5599999999999999]",0.0,0.0,0.0,132.0,0.0,14.0,30.0,55.0,3.0,1.0,235.0
"(0.5599999999999999, 0.7]",0.0,0.0,0.0,1.0,619.0,86.0,90.0,129.0,10.0,1.0,936.0
"(0.7, 0.8399999999999999]",1.0,0.0,12.0,24.0,95.0,9469.0,2856.0,4768.0,295.0,38.0,17558.0
"(0.8399999999999999, 0.9799999999999999]",0.0,1.0,9.0,25.0,146.0,3245.0,24671.0,13292.0,523.0,40.0,41952.0
"(0.9799999999999999, 1.1199999999999999]",3.0,2.0,53.0,89.0,387.0,8105.0,18026.0,66802.0,1456.0,92.0,95015.0
"(1.1199999999999999, 1.2599999999999998]",1.0,1.0,22.0,21.0,72.0,864.0,1133.0,2126.0,1548.0,20.0,5808.0
"(1.2599999999999998, 1.4]",0.0,0.0,1.0,3.0,7.0,110.0,116.0,190.0,37.0,58.0,522.0
Column Total,38.0,12.0,160.0,295.0,1327.0,21895.0,46930.0,87372.0,3872.0,250.0,162151.0
